Year,TotalPopulation,MalePopulation,FemalePopulation
1970,1832,906,926
1971,1695,832,863
1972,1579,768,811
1973,1495,720,775
1974,1387,679,708
1975,1314,647,667
1976,1241,620,621
1977,1186,590,596
1978,1140,568,572
1979,1071,535,536
1980,1019,509,510
1981,973,485,488
1982,917,458,459
1983,869,434,435
1984,820,409,411
1985,780,394,386
1986,730,365,365
1987,682,341,341
1988,645,319,326
1989,612,302,310
1990,577,290,287
1991,536,268,268
1992,500,250,250
1993,474,235,239
1994,437,219,218
1995,409,203,206
1996,386,187,199
1997,361,175,186
1998,342,165,177
1999,322,155,167
2000,304,146,158
2001,286,139,147
2002,265,125,140
2003,244,114,130
2004,222,106,116
2005,198,91,107
2006,180,84,96
2007,164,77,87
2008,148,68,80
2009,132,61,71
2010,115,56,59
2011,104,48,56
2012,96,47,49
2013,86,45,41
2014,76,40,36
2015,62,31,31
2016,49,24,25
2017,41,21,20
2018,34,19,15
2019,23,14,9
2020,17,9,8
2021,13,7,6
